domain,trial,case,expected,actual,reason,correct,verification_ms
enterprise_admin,8,role_escalation,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,8,tenant_tamper,reject,reject,semantic_mismatch,True,0.016041999999993894
enterprise_admin,9,exact_match,accept,accept,approved,True,0.016042000000007772
enterprise_admin,9,role_escalation,reject,reject,semantic_mismatch,True,0.016250000000009313
enterprise_admin,9,tenant_tamper,reject,reject,semantic_mismatch,True,0.01633299999999338
enterprise_admin,10,exact_match,accept,accept,approved,True,0.016165999999998015
enterprise_admin,10,role_escalation,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,10,tenant_tamper,reject,reject,semantic_mismatch,True,0.016292000000001083
enterprise_admin,11,exact_match,accept,accept,approved,True,0.01612499999999184
enterprise_admin,11,role_escalation,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,11,tenant_tamper,reject,reject,semantic_mismatch,True,0.017416000000006204
enterprise_admin,12,exact_match,accept,accept,approved,True,0.01633299999999338
enterprise_admin,12,role_escalation,reject,reject,semantic_mismatch,True,0.016292000000001083
enterprise_admin,12,tenant_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
enterprise_admin,13,exact_match,accept,accept,approved,True,0.016125000000005718
enterprise_admin,13,role_escalation,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,13,tenant_tamper,reject,reject,semantic_mismatch,True,0.016083999999999543
enterprise_admin,14,exact_match,accept,accept,approved,True,0.016041999999993894
enterprise_admin,14,role_escalation,reject,reject,semantic_mismatch,True,0.015999999999988246
enterprise_admin,14,tenant_tamper,reject,reject,semantic_mismatch,True,0.016250000000009313
enterprise_admin,15,exact_match,accept,accept,approved,True,0.016165999999998015
enterprise_admin,15,role_escalation,reject,reject,semantic_mismatch,True,0.059416000000006575
enterprise_admin,15,tenant_tamper,reject,reject,semantic_mismatch,True,0.04066700000000811
enterprise_admin,16,exact_match,accept,accept,approved,True,0.0199169999999943
enterprise_admin,16,role_escalation,reject,reject,semantic_mismatch,True,0.016915999999991826
enterprise_admin,16,tenant_tamper,reject,reject,semantic_mismatch,True,0.01637499999999903
enterprise_admin,17,exact_match,accept,accept,approved,True,0.01608300000000007
enterprise_admin,17,role_escalation,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,17,tenant_tamper,reject,reject,semantic_mismatch,True,0.016042000000007772
enterprise_admin,18,exact_match,accept,accept,approved,True,0.016125000000005718
enterprise_admin,18,role_escalation,reject,reject,semantic_mismatch,True,0.016000000000002124
enterprise_admin,18,tenant_tamper,reject,reject,semantic_mismatch,True,0.022415999999997327
enterprise_admin,19,exact_match,accept,accept,approved,True,0.016166000000011893
enterprise_admin,19,role_escalation,reject,reject,semantic_mismatch,True,0.01604099999999442
enterprise_admin,19,tenant_tamper,reject,reject,semantic_mismatch,True,0.01587499999999853
enterprise_admin,20,exact_match,accept,accept,approved,True,0.016000000000002124
enterprise_admin,20,role_escalation,reject,reject,semantic_mismatch,True,0.016417000000004678
enterprise_admin,20,tenant_tamper,reject,reject,semantic_mismatch,True,0.01612499999999184
enterprise_admin,21,exact_match,accept,accept,approved,True,0.015957999999996475
enterprise_admin,21,role_escalation,reject,reject,semantic_mismatch,True,0.015917000000004178
enterprise_admin,21,tenant_tamper,reject,reject,semantic_mismatch,True,0.016042000000007772
