backend,configuration,trial,available,success,failure_reason,signing_latency_ms,verification_latency_ms,server_side_latency_ms,end_to_end_latency_ms
software_signing,Software signing baseline,88,True,True,,0.002458,0.007625,0.015959,150.015959
software_signing,Software signing baseline,89,True,True,,0.002417,0.007541,0.015708,150.015708
software_signing,Software signing baseline,90,True,True,,0.002417,0.007458,0.015792,150.015792
software_signing,Software signing baseline,91,True,True,,0.0025,0.007375,0.015625,150.015625
software_signing,Software signing baseline,92,True,True,,0.0025,0.007541,0.015958,150.015958
software_signing,Software signing baseline,93,True,True,,0.002416,0.007584,0.015958,150.015958
software_signing,Software signing baseline,94,True,True,,0.0025,0.007542,0.015916,150.015916
software_signing,Software signing baseline,95,True,True,,0.002458,0.0075,0.01575,150.01575
software_signing,Software signing baseline,96,True,True,,0.002417,0.00775,0.016042,150.016042
software_signing,Software signing baseline,97,True,True,,0.002583,0.00775,0.01625,150.01625
software_signing,Software signing baseline,98,True,True,,0.002625,0.007584,0.016208,150.016208
software_signing,Software signing baseline,99,True,True,,0.002459,0.0075,0.015917,150.015917
software_signing,Software signing baseline,100,True,True,,0.002542,0.00775,0.016375,150.016375
hardware_backed_key,Hardware-backed key,1,False,False,backend_unavailable,0.0,0.0,0.0,0.0
hardware_backed_key,Hardware-backed key,2,False,False,backend_unavailable,0.0,0.0,0.0,0.0
hardware_backed_key,Hardware-backed key,3,False,False,backend_unavailable,0.0,0.0,0.0,0.0
hardware_backed_key,Hardware-backed key,4,False,False,backend_unavailable,0.0,0.0,0.0,0.0
