trial,scenario,mode,accepted,expected_accept,correct,reason,verification_overhead_ms
22,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.023084000000006544
22,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.0058329999999967574
22,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02262500000001222
23,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005999999999992123
23,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02208300000000607
23,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
23,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02216699999998961
23,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
23,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021790999999993232
23,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005750000000012689
23,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
24,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005916999999994177
24,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02195899999998807
24,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005791000000004987
24,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021833999999998355
24,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
24,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021709000000008638
24,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005583000000003446
24,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021666000000003516
25,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
25,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02183299999999888
25,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
25,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02179100000000711
25,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005583999999989042
25,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02162499999999734
25,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
25,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021707999999995287
26,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.00579200000000446
26,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022041999999999895
26,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
26,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.0927079999999969
26,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.006040999999998298
26,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.0299579999999966
26,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.009041000000001298
26,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022374999999991152
27,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005958000000000352
27,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022207999999995787
27,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
27,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022084000000005544
27,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.0057919999999905825
27,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021916000000010705
27,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
27,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.034082999999990315
28,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006333999999996731
28,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022250000000001435
28,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
28,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022208000000009664
28,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.0058329999999967574
28,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022250000000001435
28,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
28,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02187500000000453
29,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.0059589999999998255
29,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02195900000000195
29,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005666000000001392
29,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021792000000006584
29,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
29,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021791999999992706
29,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.00558400000000292
29,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02204100000000042
30,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005791000000004987
30,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02216699999998961
30,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
